41,38,4,30,11,40,46,32,19,48,31,4,48,35,35,29,19,5,23,26,42,48,13,1,45,49,10,46,14,31,5,5,8,18,27,15,2,33,44,10,44,38,34,33,50,33,3,43,34,28
48,12,4,49,3,30,35,49,13,8,42,11,16,31,5,19,42,33,15,48,9,8,49,35,9,30,18,50,45,13,41,22,37,33,8,21,42,47,8,9,50,38,50,23,45,45,15,27,32,41
3,27,42,37,42,39,28,9,16,41,7,18,48,38,6,1,23,41,30,30,31,16,1,46,5,25,45,30,3,13,40,40,33,21,16,24,44,28,34,50,15,20,31,41,33,37,5,2,1,32
7,33,40,37,20,24,19,45,33,42,41,29,23,48,49,33,8,31,25,44,37,39,7,45,43,43,3,43,8,48,18,15,6,31,10,16,46,4,32,48,40,2,46,32,18,30,33,25,40,36
27,34,22,4,6,5,44,7,2,29,35,28,50,37,24,11,44,14,43,36,3,43,44,34,10,2,21,21,1,48,10,7,12,37,1,27,5,11,29,41,35,16,20,34,45,1,18,16,22,12
18,39,33,17,45,46,23,33,42,24,49,13,43,43,9,48,11,22,40,32,48,12,49,9,40,17,5,50,46,13,10,2,17,17,26,20,50,27,17,42,32,25,40,16,10,40,34,22,22,9
4,16,15,40,36,10,16,19,17,21,46,46,19,11,23,17,14,17,33,49,18,12,18,26,39,14,33,7,35,22,22,49,48,21,22,28,32,45,14,46,34,35,1,36,11,15,28,18,49,33
29,32,10,15,10,8,10,45,13,34,44,37,14,22,45,3,12,25,4,19,1,15,43,8,1,19,19,8,11,50,25,44,45,37,3,10,37,7,17,42,27,48,20,12,15,22,16,24,39,32
9,33,42,8,14,12,21,36,45,9,1,39,25,12,36,37,28,1,23,34,21,12,35,2,29,29,12,35,49,14,7,19,41,18,48,26,3,7,29,10,2,36,32,26,17,46,22,1,4,10
24,16,2,16,49,50,44,3,27,21,1,42,23,37,36,37,36,6,41,13,13,45,37,24,18,18,45,43,25,45,41,41,19,32,23,2,7,32,49,17,33,50,1,41,22,16,7,7,20,22
45,15,38,49,12,15,14,43,2,14,25,30,49,2,26,49,12,11,37,3,7,40,49,37,32,44,1,3,27,47,21,5,36,45,8,48,10,7,34,5,8,14,45,36,2,42,28,28,26,5
4,42,43,30,30,38,26,49,40,18,35,2,8,3,15,41,6,34,5,20,22,14,45,41,35,40,47,14,45,28,8,27,14,39,40,15,27,15,13,18,26,50,48,19,29,48,26,38,5,40
33,46,40,50,6,11,3,27,31,1,12,20,10,21,23,30,10,5,24,44,13,31,10,12,33,13,49,6,15,28,35,21,1,5,5,47,43,8,49,49,17,49,8,6,26,20,20,32,14,43
8,5,26,39,7,44,34,1,34,15,4,46,48,34,7,19,5,19,28,11,35,38,43,41,11,33,45,35,9,41,33,5,23,4,38,45,26,18,23,18,33,20,3,47,38,27,48,30,28,42
39,40,38,20,30,28,36,23,42,41,28,17,21,14,14,33,41,7,3,24,22,30,5,1,15,41,36,33,1,47,8,17,10,22,9,24,17,49,19,32,11,44,39,17,12,4,21,3,47,2
46,44,49,21,9,28,22,42,13,17,30,34,30,11,40,38,3,46,28,21,1,32,27,6,12,6,21,33,38,32,15,17,35,42,28,17,19,50,3,18,36,24,29,36,32,16,40,36,46,37
8,47,13,50,47,22,13,22,47,33,41,34,24,20,45,22,46,18,6,39,34,39,12,38,44,28,12,39,34,30,41,33,28,48,47,35,4,16,20,49,43,4,36,45,33,14,38,37,29,36
6,32,25,50,28,30,7,18,23,24,27,1,14,32,34,49,2,11,31,33,35,19,28,31,37,27,49,20,21,42,11,50,4,47,36,16,1,2,11,48,22,39,28,44,16,21,38,19,38,5
16,40,2,38,4,13,7,36,44,46,2,9,46,8,46,32,48,38,41,35,44,33,1,36,11,2,12,41,26,28,48,32,33,38,15,46,11,16,31,12,37,9,18,30,41,20,18,7,18,23
50,36,46,1,39,14,38,48,29,44,3,26,20,43,2,24,24,47,46,32,26,8,38,14,11,21,50,49,33,46,17,23,19,9,19,8,5,15,13,37,30,12,1,2,41,40,11,34,23,18
27,22,11,48,48,16,24,32,21,42,19,15,36,20,5,19,47,21,50,25,37,19,4,42,18,25,33,43,20,23,31,34,25,15,29,41,11,12,13,7,35,14,3,48,24,26,20,46,10,1
2,24,32,4,50,35,2,27,34,5,27,40,7,37,26,39,19,39,14,38,14,1,22,22,49,21,27,20,13,2,23,14,32,22,13,8,47,19,17,31,16,23,26,20,8,5,44,9,37,2
45,10,3,19,43,22,15,25,36,22,45,47,5,25,15,26,17,43,30,1,50,44,21,13,18,41,1,8,34,16,40,50,29,40,42,25,44,10,7,20,8,1,33,26,37,22,3,49,3,11
24,13,48,10,47,25,40,36,30,47,41,43,5,13,4,38,7,28,41,39,1,20,2,39,18,45,29,42,36,2,10,31,42,28,35,38,3,42,17,6,49,37,39,5,34,42,42,48,16,39
42,34,34,13,15,44,7,6,5,34,45,38,7,21,9,1,15,21,46,47,41,50,9,10,13,49,1,35,46,46,8,1,25,26,3,8,50,2,44,39,20,13,29,16,40,49,39,4,11,45
15,9,20,16,45,3,45,13,28,27,23,4,45,2,36,24,18,27,24,29,47,19,48,12,34,29,41,19,33,10,16,41,18,44,32,22,8,43,29,8,49,24,3,33,20,39,15,24,1,12
31,36,9,31,27,35,16,28,48,40,20,29,14,11,10,15,11,12,16,35,29,25,40,34,5,43,36,7,6,34,18,2,46,19,3,32,34,37,47,38,17,27,28,39,13,28,38,13,42,38
8,35,35,1,3,4,17,46,47,28,24,9,17,6,41,1,45,45,40,35,48,30,8,41,24,14,41,32,14,48,16,50,15,32,25,26,21,39,7,36,11,42,5,23,32,14,37,45,38,13
25,5,45,24,6,36,31,28,15,4,21,10,21,25,22,39,27,6,6,35,9,26,35,47,38,9,42,18,24,50,20,12,14,41,27,20,11,47,31,18,39,26,9,45,49,16,9,27,49,21
3,8,21,32,1,12,32,7,16,50,20,18,19,46,42,6,20,22,30,33,2,15,11,3,37,47,32,20,19,48,50,32,41,35,23,1,6,5,23,11,33,9,28,14,1,33,23,35,12,5
18,20,41,46,27,13,12,11,33,50,7,42,3,30,29,36,13,50,25,26,22,5,40,21,6,42,35,8,18,6,19,39,45,31,7,4,47,4,48,8,48,13,22,37,34,10,15,35,33,11
12,12,9,37,8,49,4,50,26,11,27,44,40,9,24,1,20,5,3,46,4,41,8,13,42,8,36,10,5,32,14,45,25,50,22,7,28,19,15,50,36,5,5,8,12,35,40,24,41,20
43,1,17,24,2,25,35,15,1,12,33,47,15,6,38,10,13,40,38,32,9,43,42,21,24,46,29,14,40,33,45,25,32,47,3,32,15,10,23,8,38,49,26,37,5,26,29,31,13,4
4,44,7,16,39,46,15,4,41,12,19,45,28,3,22,20,30,31,12,47,50,50,36,20,5,5,5,48,40,44,23,37,2,13,43,44,33,37,3,45,2,9,31,36,35,33,2,3,42,18
27,36,26,28,11,21,25,2,35,40,16,25,34,6,45,42,3,35,49,42,19,4,35,15,38,5,22,50,13,44,2,25,32,33,37,8,50,44,41,25,11,18,38,30,28,4,13,26,27,4
16,38,46,21,40,35,12,16,30,3,1,43,18,7,34,10,13,13,34,15,1,23,31,39,5,3,10,49,33,19,32,48,17,7,40,36,23,25,49,37,22,11,31,41,47,15,11,20,31,42
25,44,38,39,47,11,3,2,49,32,50,18,3,39,32,8,20,30,12,29,48,39,27,31,36,38,14,38,50,26,49,50,5,24,16,30,49,45,23,33,44,1,40,13,2,17,26,28,39,30
35,24,48,49,36,8,46,33,38,15,38,46,5,40,33,36,13,2,34,19,14,28,23,15,25,29,20,46,44,37,8,50,5,3,15,30,40,20,23,2,38,28,44,6,15,38,50,34,27,36
34,30,6,47,36,20,39,9,11,7,27,6,25,6,50,5,21,28,13,35,32,10,29,34,17,5,16,28,35,29,40,6,39,19,8,5,12,7,19,25,26,6,20,31,4,20,3,32,2,32
38,24,28,10,5,2,47,42,48,47,26,31,27,28,38,4,7,32,50,32,37,12,42,16,35,18,38,36,47,22,44,33,11,35,10,4,11,12,40,27,12,35,38,2,31,21,50,8,26,38
12,39,25,24,34,12,16,12,1,15,35,42,49,2,30,16,10,24,10,47,34,10,15,10,42,39,35,25,45,48,31,15,32,8,47,47,43,33,21,48,44,30,25,19,23,33,39,10,14,42
44,30,43,38,8,26,19,18,13,24,11,9,48,49,1,39,29,5,36,2,10,36,42,46,27,18,18,41,24,1,15,50,29,13,22,41,4,4,36,42,28,50,37,36,43,39,49,28,8,16
12,1,43,45,49,16,14,27,36,16,19,22,24,24,8,18,3,6,4,19,15,42,18,50,13,28,19,25,8,18,14,38,3,8,49,20,10,30,13,12,23,16,6,22,8,15,2,4,35,17
5,30,34,41,31,41,2,41,23,33,24,9,7,45,19,27,42,13,13,40,33,6,26,46,26,16,24,15,18,36,27,46,33,49,37,21,30,30,28,2,13,31,48,23,23,47,17,2,8,47
46,7,44,44,18,21,47,36,35,13,43,13,9,34,24,3,44,49,19,24,36,19,18,34,48,8,25,1,16,12,16,19,45,22,50,47,31,10,50,10,19,41,18,34,37,4,31,5,46,7
6,40,31,27,36,28,41,5,38,28,21,34,50,47,49,18,21,32,40,11,34,42,7,38,21,35,15,46,13,17,41,47,29,48,6,47,36,24,21,42,3,49,46,36,4,22,12,16,8,11
35,40,36,34,14,40,37,3,8,21,38,36,43,4,47,7,34,11,42,50,24,16,14,37,50,20,43,40,3,18,34,37,26,18,17,31,49,46,50,38,47,16,24,24,6,46,33,8,49,32
47,37,45,17,28,23,49,10,28,4,14,29,21,13,37,29,15,20,8,6,28,18,16,2,17,8,19,46,43,49,16,41,42,3,38,9,13,26,3,34,31,16,30,29,17,23,48,40,4,30
